index:27 pairs:['0000099', '210', '214']
index:3211 pairs:['0000159', '331', '363']
index:3212 pairs:['0000159', '331', '366']
index:3213 pairs:['0000159', '332', '333']
index:3214 pairs:['0000159', '332', '336']
index:3215 pairs:['0000159', '332', '352']
index:3216 pairs:['0000159', '332', '375']
index:3217 pairs:['0000159', '332', '375']
index:3218 pairs:['0000159', '332', '392']
index:3219 pairs:['0000159', '332', '403']
index:3220 pairs:['0000159', '332', '406']
index:3290 pairs:['0000159', '346', '373']
index:3346 pairs:['0000159', '359', '373']
index:3350 pairs:['0000159', '360', '373']
index:3351 pairs:['0000159', '360', '373']
index:3388 pairs:['0000159', '372', '373']
index:3390 pairs:['0000159', '373', '400']
index:3734 pairs:['0000166', '221', '235']
index:3735 pairs:['0000166', '221', '244']
index:3750 pairs:['0000166', '226', '254']
index:3767 pairs:['0000166', '230', '253']
index:3776 pairs:['0000166', '232', '272']
index:3779 pairs:['0000166', '234', '253']
index:3781 pairs:['0000166', '235', '251']
index:3782 pairs:['0000166', '235', '255']
index:3783 pairs:['0000166', '235', '263']
index:3784 pairs:['0000166', '235', '268']
index:3806 pairs:['0000166', '243', '272']
index:3807 pairs:['0000166', '244', '246']
index:3808 pairs:['0000166', '244', '250']
index:3811 pairs:['0000166', '246', '272']
index:3821 pairs:['0000166', '252', '272']
index:3822 pairs:['0000166', '254', '271']
index:4017 pairs:['0000168', '392', '477']
index:4058 pairs:['0000168', '396', '477']
index:4234 pairs:['0000168', '425', '477']
index:4266 pairs:['0000168', '432', '477']
index:4386 pairs:['0000168', '477', '483']
index:4674 pairs:['0000169', '187', '189']
index:4681 pairs:['0000169', '189', '211']
index:4682 pairs:['0000169', '189', '219']
index:4683 pairs:['0000169', '191', '209']
index:4718 pairs:['0000169', '209', '215']
index:4719 pairs:['0000169', '209', '217']
index:4720 pairs:['0000169', '209', '223']
index:4872 pairs:['0000170', '266', '281']
index:4893 pairs:['0000170', '271', '276']
index:4904 pairs:['0000170', '273', '276']
index:4918 pairs:['0000170', '276', '287']
index:4919 pairs:['0000170', '276', '290']
index:4920 pairs:['0000170', '276', '291']
index:4921 pairs:['0000170', '276', '296']
index:4922 pairs:['0000170', '276', '298']
index:4923 pairs:['0000170', '276', '305']
index:4924 pairs:['0000170', '276', '311']
index:4942 pairs:['0000170', '281', '321']
index:5242 pairs:['0000174', '156', '180']
index:5263 pairs:['0000174', '167', '171']
index:5264 pairs:['0000174', '167', '184']
index:5283 pairs:['0000174', '180', '188']
index:5284 pairs:['0000174', '180', '189']
index:5287 pairs:['0000174', '183', '186']
index:5386 pairs:['0000177', '133', '134']
index:5387 pairs:['0000177', '133', '154']
index:5389 pairs:['0000177', '134', '138']
index:5390 pairs:['0000177', '134', '154']
index:5391 pairs:['0000177', '134', '156']
index:5394 pairs:['0000177', '138', '141']
index:5398 pairs:['0000177', '141', '154']
index:5399 pairs:['0000177', '141', '161']
index:5403 pairs:['0000177', '145', '154']
index:5404 pairs:['0000177', '145', '154']
index:5406 pairs:['0000177', '145', '160']
index:5409 pairs:['0000177', '147', '151']
index:5411 pairs:['0000177', '148', '154']
index:5414 pairs:['0000177', '149', '154']
index:5528 pairs:['0000185', '80', '81']
index:5529 pairs:['0000185', '81', '88']
index:5597 pairs:['0000186', '58', '59']
index:5598 pairs:['0000186', '58', '66']
index:5602 pairs:['0000186', '64', '70']
index:5639 pairs:['0000188', '204', '244']
index:5643 pairs:['0000188', '206', '244']
index:5644 pairs:['0000188', '206', '244']
index:5646 pairs:['0000188', '208', '244']
index:5659 pairs:['0000188', '212', '244']
index:5682 pairs:['0000188', '229', '253']
index:5701 pairs:['0000188', '249', '253']
index:5835 pairs:['0000189', '187', '189']
index:5864 pairs:['0000189', '198', '205']
index:5874 pairs:['0000189', '202', '205']
index:5880 pairs:['0000189', '204', '205']
index:5903 pairs:['0000189', '220', '229']
index:5908 pairs:['0000189', '226', '229']
index:6049 pairs:['0000192', '161', '199']
index:6052 pairs:['0000192', '163', '180']
index:6054 pairs:['0000192', '164', '165']
index:6055 pairs:['0000192', '164', '180']
index:6058 pairs:['0000192', '165', '179']
index:6059 pairs:['0000192', '165', '181']
index:6060 pairs:['0000192', '165', '183']
index:6061 pairs:['0000192', '166', '168']
index:6062 pairs:['0000192', '166', '187']
index:6064 pairs:['0000192', '167', '170']
index:6065 pairs:['0000192', '167', '190']
index:6066 pairs:['0000192', '167', '191']
index:6067 pairs:['0000192', '167', '196']
index:6071 pairs:['0000192', '171', '185']
index:6072 pairs:['0000192', '173', '176']
index:6073 pairs:['0000192', '173', '195']
index:6076 pairs:['0000192', '175', '180']
index:6085 pairs:['0000192', '180', '189']
index:6086 pairs:['0000192', '180', '195']
index:6088 pairs:['0000192', '185', '189']
index:6092 pairs:['0000192', '188', '191']
index:6093 pairs:['0000192', '188', '192']
index:6094 pairs:['0000192', '189', '194']
index:6098 pairs:['0000192', '193', '199']
index:6213 pairs:['0000195', '262', '281']
index:6240 pairs:['0000195', '269', '289']
index:6248 pairs:['0000195', '270', '311']
index:6249 pairs:['0000195', '271', '277']
index:6252 pairs:['0000195', '272', '273']
index:6253 pairs:['0000195', '272', '286']
index:6254 pairs:['0000195', '272', '301']
index:6255 pairs:['0000195', '272', '313']
index:6259 pairs:['0000195', '274', '277']
index:6262 pairs:['0000195', '275', '281']
index:6264 pairs:['0000195', '275', '289']
index:6277 pairs:['0000195', '279', '281']
index:6285 pairs:['0000195', '281', '289']
index:6286 pairs:['0000195', '281', '312']
index:6287 pairs:['0000195', '281', '315']
index:6288 pairs:['0000195', '281', '319']
index:6307 pairs:['0000195', '289', '307']
index:6308 pairs:['0000195', '289', '312']
index:6319 pairs:['0000195', '295', '311']
index:6324 pairs:['0000195', '296', '311']
index:6328 pairs:['0000195', '299', '311']
index:6549 pairs:['0000198', '158', '166']
index:6551 pairs:['0000198', '158', '174']
index:6558 pairs:['0000198', '161', '180']
index:6566 pairs:['0000198', '165', '174']
index:6567 pairs:['0000198', '166', '169']
index:6568 pairs:['0000198', '166', '175']
index:6569 pairs:['0000198', '168', '181']
index:6572 pairs:['0000198', '169', '181']
index:6574 pairs:['0000198', '173', '181']
index:6575 pairs:['0000198', '174', '183']
index:6576 pairs:['0000198', '177', '181']
index:6578 pairs:['0000198', '178', '180']
index:6581 pairs:['0000198', '180', '181']
index:6688 pairs:['0000202', '166', '180']
index:6719 pairs:['0000202', '178', '184']
index:6720 pairs:['0000202', '178', '186']
index:6721 pairs:['0000202', '178', '201']
index:6724 pairs:['0000202', '180', '181']
index:6725 pairs:['0000202', '180', '184']
index:6726 pairs:['0000202', '180', '192']
index:6727 pairs:['0000202', '180', '192']
index:6728 pairs:['0000202', '180', '195']
index:7004 pairs:['0000204', '465', '550']
index:7097 pairs:['0000204', '479', '550']
index:7160 pairs:['0000204', '491', '550']
index:7206 pairs:['0000204', '502', '550']
index:7218 pairs:['0000204', '505', '550']
index:7225 pairs:['0000204', '506', '550']
index:7256 pairs:['0000204', '512', '550']
index:7262 pairs:['0000204', '513', '550']
index:7288 pairs:['0000204', '524', '550']
index:7315 pairs:['0000204', '541', '550']
index:7321 pairs:['0000204', '545', '550']
index:7565 pairs:['0000205', '160', '183']
index:7566 pairs:['0000205', '160', '187']
index:7576 pairs:['0000205', '164', '188']
index:7595 pairs:['0000205', '171', '188']
index:7618 pairs:['0000205', '188', '189']
index:7619 pairs:['0000205', '188', '192']
index:7737 pairs:['0000207', '279', '324']
index:7754 pairs:['0000207', '281', '324']
index:7766 pairs:['0000207', '285', '289']
index:7781 pairs:['0000207', '289', '305']
index:7782 pairs:['0000207', '289', '312']
index:7783 pairs:['0000207', '290', '294']
index:7784 pairs:['0000207', '290', '328']
index:7785 pairs:['0000207', '290', '335']
index:7788 pairs:['0000207', '291', '324']
index:7801 pairs:['0000207', '295', '324']
index:7826 pairs:['0000207', '303', '324']
index:7828 pairs:['0000207', '304', '324']
index:7854 pairs:['0000207', '318', '324']
index:8026 pairs:['0000208', '61', '62']
index:8027 pairs:['0000208', '61', '69']
index:8029 pairs:['0000208', '62', '64']
index:8032 pairs:['0000208', '64', '66']
index:8101 pairs:['0000210', '468', '554']
index:8124 pairs:['0000210', '470', '554']
index:8144 pairs:['0000210', '472', '554']
index:8216 pairs:['0000210', '479', '554']
index:8217 pairs:['0000210', '479', '554']
index:8246 pairs:['0000210', '483', '490']
index:8258 pairs:['0000210', '484', '493']
index:8306 pairs:['0000210', '490', '510']
index:8307 pairs:['0000210', '490', '512']
index:8308 pairs:['0000210', '490', '524']
index:8309 pairs:['0000210', '490', '524']
index:8310 pairs:['0000210', '490', '530']
index:8311 pairs:['0000210', '490', '540']
index:8312 pairs:['0000210', '490', '558']
index:8313 pairs:['0000210', '490', '566']
index:8314 pairs:['0000210', '490', '580']
index:8330 pairs:['0000210', '493', '495']
index:8331 pairs:['0000210', '493', '501']
index:8332 pairs:['0000210', '493', '542']
index:8333 pairs:['0000210', '493', '561']
index:8344 pairs:['0000210', '495', '554']
index:8371 pairs:['0000210', '500', '554']
index:8449 pairs:['0000210', '518', '554']
index:8458 pairs:['0000210', '520', '554']
index:8546 pairs:['0000210', '540', '554']
index:8573 pairs:['0000210', '550', '554']
index:8588 pairs:['0000210', '554', '559']
index:8589 pairs:['0000210', '554', '574']
index:8839 pairs:['0000211', '65', '75']
index:8881 pairs:['0000212', '140', '146']
index:8883 pairs:['0000212', '140', '150']
index:8886 pairs:['0000212', '140', '159']
index:8890 pairs:['0000212', '142', '159']
index:8894 pairs:['0000212', '143', '157']
index:8900 pairs:['0000212', '146', '147']
index:8901 pairs:['0000212', '146', '151']
index:8902 pairs:['0000212', '146', '169']
index:8903 pairs:['0000212', '146', '173']
index:8908 pairs:['0000212', '150', '156']
index:8911 pairs:['0000212', '152', '157']
index:8917 pairs:['0000212', '157', '164']
index:8918 pairs:['0000212', '159', '163']
index:8919 pairs:['0000212', '159', '167']
index:8920 pairs:['0000212', '159', '170']
index:8921 pairs:['0000212', '159', '171']
index:8986 pairs:['0000214', '28', '33']
index:9062 pairs:['0000225', '260', '275']
index:9081 pairs:['0000225', '267', '275']
index:9083 pairs:['0000225', '269', '275']
index:9089 pairs:['0000225', '271', '294']
index:9097 pairs:['0000225', '275', '299']
index:9129 pairs:['0000225', '292', '294']
index:9130 pairs:['0000225', '292', '294']
index:9131 pairs:['0000225', '292', '294']
index:9132 pairs:['0000225', '294', '304']
index:9248 pairs:['0000233', '330', '375']
index:9311 pairs:['0000233', '339', '384']
index:9312 pairs:['0000233', '339', '384']
index:9351 pairs:['0000233', '346', '384']
index:9358 pairs:['0000233', '348', '375']
index:9435 pairs:['0000233', '372', '384']
index:9442 pairs:['0000233', '375', '386']
index:9443 pairs:['0000233', '375', '400']
index:9457 pairs:['0000233', '384', '404']
index:9458 pairs:['0000233', '384', '406']
index:9629 pairs:['0000240', '51', '59']
index:9631 pairs:['0000240', '52', '53']
index:9633 pairs:['0000240', '53', '54']
index:9634 pairs:['0000240', '53', '57']
index:9635 pairs:['0000240', '54', '59']
index:9679 pairs:['0000249', '157', '180']
index:9710 pairs:['0000249', '176', '177']
index:9711 pairs:['0000249', '176', '177']
index:9712 pairs:['0000249', '176', '177']
index:9715 pairs:['0000249', '177', '189']
index:9720 pairs:['0000249', '180', '184']
index:9794 pairs:['0000260', '143', '144']
index:9795 pairs:['0000260', '143', '151']
index:9874 pairs:['0000263', '125', '148']
index:9875 pairs:['0000263', '127', '133']
index:9878 pairs:['0000263', '127', '148']
index:9883 pairs:['0000263', '131', '133']
index:9887 pairs:['0000263', '133', '137']
index:9905 pairs:['0000263', '148', '150']
index:9937 pairs:['0000268', '102', '104']
index:9939 pairs:['0000268', '103', '105']
index:9940 pairs:['0000268', '104', '123']
index:9945 pairs:['0000268', '109', '120']
index:9949 pairs:['0000268', '117', '120']
index:9950 pairs:['0000268', '118', '120']
index:10004 pairs:['0000270', '167', '172']
index:10011 pairs:['0000270', '171', '186']
index:10012 pairs:['0000270', '171', '188']
index:10014 pairs:['0000270', '172', '175']
index:10015 pairs:['0000270', '172', '191']
index:10016 pairs:['0000270', '172', '199']
index:10020 pairs:['0000270', '175', '179']
index:10036 pairs:['0000270', '183', '188']
index:10039 pairs:['0000270', '184', '188']
index:10045 pairs:['0000270', '186', '188']
index:10046 pairs:['0000270', '186', '189']
index:10047 pairs:['0000270', '186', '199']
index:10165 pairs:['0000275', '134', '151']
index:10171 pairs:['0000275', '137', '144']
index:10172 pairs:['0000275', '137', '155']
index:10173 pairs:['0000275', '137', '158']
index:10191 pairs:['0000275', '147', '159']
index:10262 pairs:['0000284', '71', '82']
index:10290 pairs:['0000286', '65', '74']
index:10292 pairs:['0000286', '66', '76']
index:10293 pairs:['0000286', '66', '78']
index:10294 pairs:['0000286', '67', '68']
index:10295 pairs:['0000286', '70', '79']
index:10297 pairs:['0000286', '71', '74']
index:10299 pairs:['0000286', '75', '79']
index:10300 pairs:['0000286', '79', '80']
index:10321 pairs:['0000287', '77', '91']
index:10322 pairs:['0000287', '78', '84']
index:10331 pairs:['0000287', '90', '91']
index:10364 pairs:['0000293', '93', '95']
index:10454 pairs:['0000295', '363', '366']
index:10474 pairs:['0000295', '366', '418']
index:10475 pairs:['0000295', '366', '436']
index:10476 pairs:['0000295', '366', '437']
index:10552 pairs:['0000295', '383', '404']
index:10756 pairs:['0000297', '51', '53']
index:10758 pairs:['0000297', '51', '61']
index:10761 pairs:['0000297', '53', '59']
index:10762 pairs:['0000297', '53', '63']
index:10765 pairs:['0000297', '58', '61']
index:10766 pairs:['0000297', '61', '65']
index:10803 pairs:['0000301', '141', '159']
index:10806 pairs:['0000301', '142', '147']
index:10810 pairs:['0000301', '143', '148']
index:10811 pairs:['0000301', '144', '147']
index:10817 pairs:['0000301', '147', '158']
index:10818 pairs:['0000301', '147', '159']
index:10829 pairs:['0000301', '157', '159']
index:10831 pairs:['0000301', '159', '165']
index:10859 pairs:['0000302', '126', '128']
index:10860 pairs:['0000302', '126', '129']
index:10861 pairs:['0000302', '126', '141']
index:10862 pairs:['0000302', '126', '148']
index:10864 pairs:['0000302', '127', '144']
index:10865 pairs:['0000302', '127', '153']
index:10874 pairs:['0000302', '131', '142']
index:10878 pairs:['0000302', '133', '154']
index:10892 pairs:['0000302', '150', '154']
index:10959 pairs:['0000307', '221', '224']
index:10962 pairs:['0000307', '223', '224']
index:10966 pairs:['0000307', '224', '238']
index:10967 pairs:['0000307', '224', '252']
index:11141 pairs:['0000321', '97', '112']
index:11142 pairs:['0000321', '97', '117']
index:11144 pairs:['0000321', '99', '111']
index:11145 pairs:['0000321', '100', '116']
index:11147 pairs:['0000321', '103', '116']
index:11151 pairs:['0000321', '111', '117']
index:11152 pairs:['0000321', '113', '116']
index:11166 pairs:['0000324', '13', '14']
index:11177 pairs:['0000327', '98', '104']
index:11178 pairs:['0000327', '98', '107']
index:11179 pairs:['0000327', '98', '116']
index:11215 pairs:['0000331', '155', '156']
index:11218 pairs:['0000331', '156', '167']
index:11232 pairs:['0000331', '164', '168']
index:11233 pairs:['0000331', '164', '173']
index:11238 pairs:['0000331', '167', '174']
index:11249 pairs:['0000331', '174', '178']
index:11250 pairs:['0000331', '174', '182']
index:11251 pairs:['0000331', '174', '184']
index:11256 pairs:['0000331', '184', '188']
index:11291 pairs:['0000332', '251', '261']
index:11292 pairs:['0000332', '251', '266']
index:11293 pairs:['0000332', '251', '285']
index:11294 pairs:['0000332', '251', '306']
index:11303 pairs:['0000332', '254', '260']
index:11304 pairs:['0000332', '254', '285']
index:11305 pairs:['0000332', '254', '291']
index:11306 pairs:['0000332', '254', '305']
index:11343 pairs:['0000332', '262', '265']
index:11356 pairs:['0000332', '264', '265']
index:11359 pairs:['0000332', '265', '268']
index:11360 pairs:['0000332', '265', '269']
index:11361 pairs:['0000332', '265', '299']
index:11362 pairs:['0000332', '265', '300']
index:11363 pairs:['0000332', '265', '300']
index:11416 pairs:['0000332', '285', '308']
index:11419 pairs:['0000332', '286', '308']
index:11428 pairs:['0000332', '288', '308']
index:11474 pairs:['0000333', '251', '272']
index:11475 pairs:['0000333', '251', '273']
index:11476 pairs:['0000333', '251', '281']
index:11477 pairs:['0000333', '251', '282']
index:11478 pairs:['0000333', '251', '290']
index:11479 pairs:['0000333', '251', '291']
index:11480 pairs:['0000333', '251', '295']
index:11481 pairs:['0000333', '251', '299']
index:11540 pairs:['0000333', '265', '270']
index:11541 pairs:['0000333', '265', '296']
index:11650 pairs:['0000334', '67', '68']
index:11667 pairs:['0000335', '259', '285']
index:11686 pairs:['0000335', '265', '285']
index:11708 pairs:['0000335', '270', '282']
index:11713 pairs:['0000335', '271', '282']
index:11714 pairs:['0000335', '271', '285']
index:11720 pairs:['0000335', '272', '275']
index:11721 pairs:['0000335', '272', '279']
index:11722 pairs:['0000335', '272', '294']
index:11723 pairs:['0000335', '272', '307']
index:11728 pairs:['0000335', '274', '285']
index:11746 pairs:['0000335', '277', '282']
index:11759 pairs:['0000335', '282', '294']
index:11760 pairs:['0000335', '282', '320']
index:11766 pairs:['0000335', '285', '296']
index:11837 pairs:['0000342', '92', '95']
index:11858 pairs:['0000343', '77', '85']
index:11860 pairs:['0000343', '84', '85']
index:11870 pairs:['0000349', '80', '87']
index:11874 pairs:['0000349', '82', '87']
index:11884 pairs:['0000349', '87', '88']
index:11920 pairs:['0000353', '197', '210']
index:11921 pairs:['0000353', '197', '210']
index:11922 pairs:['0000353', '197', '214']
index:11923 pairs:['0000353', '197', '215']
index:11924 pairs:['0000353', '197', '219']
index:11936 pairs:['0000353', '203', '236']
index:11942 pairs:['0000353', '206', '236']
index:11944 pairs:['0000353', '207', '236']
index:11964 pairs:['0000353', '214', '228']
index:11975 pairs:['0000353', '221', '232']
index:11976 pairs:['0000353', '221', '233']
index:11980 pairs:['0000353', '223', '242']
index:11985 pairs:['0000353', '228', '238']
index:11992 pairs:['0000353', '236', '239']
